address,name,size,status,match_percent,unit,evidence
0x00420770,th095::GameWindow::Render,420,matching,100.00,main-render,python3 scripts/build.py --unit main-render && python3 scripts/compare-coff-function.py --unit main-render --json
0x00401C10,th095::AnmVm::Initialize,280,matching,100.00,anm-vm-initialize,python3 scripts/build.py --unit anm-vm-initialize && python3 scripts/compare-coff-function.py --unit anm-vm-initialize --json
0x00439E30,th095::AnmLoaded::SetSprite,649,matching,100.00,anm-set-sprite,python3 scripts/build.py --unit anm-set-sprite && python3 scripts/compare-coff-function.py --unit anm-set-sprite --json
0x0043A1B0,th095::AnmVm::GetFloatVar,462,matching,100.00,anm-get-float-var,python3 scripts/build.py --unit anm-get-float-var && python3 scripts/compare-coff-function.py --unit anm-get-float-var --json
0x0043A380,th095::AnmVm::GetIntVar,226,matching,100.00,anm-get-int-var,python3 scripts/build.py --unit anm-get-int-var && python3 scripts/compare-coff-function.py --unit anm-get-int-var --json
0x0043A470,th095::AnmVm::GetFloatVarPtr,200,matching,100.00,anm-get-float-var-ptr,python3 scripts/build.py --unit anm-get-float-var-ptr && python3 scripts/compare-coff-function.py --unit anm-get-float-var-ptr --json
0x0043A540,th095::AnmVm::GetIntVarPtr,177,matching,100.00,anm-get-int-var-ptr,python3 scripts/build.py --unit anm-get-int-var-ptr && python3 scripts/compare-coff-function.py --unit anm-get-int-var-ptr --json
0x0043A600,th095::AnmManager::ExecuteScript,17018,matching,100.00,anm-execute-script,python3 scripts/build.py --unit anm-execute-script && python3 scripts/compare-coff-function.py --unit anm-execute-script --json
0x00408E70,th095::EclManager::RunEcl,27091,matching,100.00,ecl-manager-run-ecl,python3 scripts/build.py --unit ecl-manager-run-ecl && python3 scripts/compare-coff-function.py --unit ecl-manager-run-ecl --json
0x00437790,th095::SoundPlayer::Initialize,81,matching,100.00,sound-player-initialize,python3 scripts/build.py --unit sound-player-initialize && python3 scripts/compare-coff-function.py --unit sound-player-initialize --json
0x004377F0,th095::SoundPlayer::RequestThreadStop,26,matching,100.00,sound-player-request-thread-stop,python3 scripts/build.py --unit sound-player-request-thread-stop && python3 scripts/compare-coff-function.py --unit sound-player-request-thread-stop --json
0x00437810,th095::SoundPlayer::JoinThread,182,matching,100.00,sound-player-join-thread,python3 scripts/build.py --unit sound-player-join-thread && python3 scripts/compare-coff-function.py --unit sound-player-join-thread --json
0x00437D60,th095::SoundPlayer::Release,669,matching,100.00,sound-player-release,python3 scripts/build.py --unit sound-player-release && python3 scripts/compare-coff-function.py --unit sound-player-release --json
0x00439200,th095::SoundPlayer::ProcessQueues,2525,matching,100.00,sound-player-process-queues,python3 scripts/build.py --unit sound-player-process-queues && python3 scripts/compare-coff-function.py --unit sound-player-process-queues --json
0x004378D0,th095::SoundPlayerWorkerThread,69,matching,100.00,sound-player-worker-thread,python3 scripts/build.py --unit sound-player-worker-thread && python3 scripts/compare-coff-function.py --unit sound-player-worker-thread --json
0x00437920,th095::SoundPlayer::InitializeDSound,881,matching,100.00,sound-player-initialize-dsound,python3 scripts/build.py --unit sound-player-initialize-dsound && python3 scripts/compare-coff-function.py --unit sound-player-initialize-dsound --json
0x00437CA0,th095::StartSoundLoadThread,44,matching,100.00,sound-player-start-load-thread,python3 scripts/build.py --unit sound-player-start-load-thread && python3 scripts/compare-coff-function.py --unit sound-player-start-load-thread --json
0x00437CD0,th095::SoundDataLoaderThread,129,matching,100.00,sound-player-data-loader-thread,python3 scripts/build.py --unit sound-player-data-loader-thread && python3 scripts/compare-coff-function.py --unit sound-player-data-loader-thread --json
0x00438000,th095::SoundPlayer::GetFmtIndexByName,523,matching,100.00,sound-player-get-fmt-index-by-name,python3 scripts/build.py --unit sound-player-get-fmt-index-by-name && python3 scripts/compare-coff-function.py --unit sound-player-get-fmt-index-by-name --json
0x00438210,th095::SoundPlayer::LoadSound,849,matching,100.00,sound-player-load-sound,python3 scripts/build.py --unit sound-player-load-sound && python3 scripts/compare-coff-function.py --unit sound-player-load-sound --json
0x00438570,th095::SoundPlayer::GetWavFormatData,100,matching,100.00,sound-player-get-wav-format-data,python3 scripts/build.py --unit sound-player-get-wav-format-data && python3 scripts/compare-coff-function.py --unit sound-player-get-wav-format-data --json
0x004385E0,th095::SoundPlayer::LoadSoundData,61,matching,100.00,sound-player-load-sound-data,python3 scripts/build.py --unit sound-player-load-sound-data && python3 scripts/compare-coff-function.py --unit sound-player-load-sound-data --json
0x00438620,th095::SoundPlayer::LoadFmt,50,matching,100.00,sound-player-load-fmt,python3 scripts/build.py --unit sound-player-load-fmt && python3 scripts/compare-coff-function.py --unit sound-player-load-fmt --json
0x00438660,th095::SoundPlayer::StartBGM,386,matching,100.00,sound-player-start-bgm,python3 scripts/build.py --unit sound-player-start-bgm && python3 scripts/compare-coff-function.py --unit sound-player-start-bgm --json
0x004387F0,th095::SoundPlayer::ReopenBGM,105,matching,100.00,sound-player-reopen-bgm,python3 scripts/build.py --unit sound-player-reopen-bgm && python3 scripts/compare-coff-function.py --unit sound-player-reopen-bgm --json
0x00438860,th095::SoundPlayer::PreloadBGM,675,matching,100.00,sound-player-preload-bgm,python3 scripts/build.py --unit sound-player-preload-bgm && python3 scripts/compare-coff-function.py --unit sound-player-preload-bgm --json
0x00438B10,th095::SoundPlayer::LoadBGM,470,matching,100.00,sound-player-load-bgm,python3 scripts/build.py --unit sound-player-load-bgm && python3 scripts/compare-coff-function.py --unit sound-player-load-bgm --json
0x00438CF0,th095::SoundPlayer::StopBGM,287,matching,100.00,sound-player-stop-bgm,python3 scripts/build.py --unit sound-player-stop-bgm && python3 scripts/compare-coff-function.py --unit sound-player-stop-bgm --json
0x00438E10,th095::SoundPlayer::InitSoundBuffers,262,matching,100.00,sound-player-init-sound-buffers,python3 scripts/build.py --unit sound-player-init-sound-buffers && python3 scripts/compare-coff-function.py --unit sound-player-init-sound-buffers --json
0x00438F20,th095::SoundPlayer::PlaySoundByIdx,267,matching,100.00,sound-player-play-sound-by-idx,python3 scripts/build.py --unit sound-player-play-sound-by-idx && python3 scripts/compare-coff-function.py --unit sound-player-play-sound-by-idx --json
0x00439030,th095::SoundPlayer::PlaySoundPositionedByIdx,290,matching,100.00,sound-player-play-sound-positioned-by-idx,python3 scripts/build.py --unit sound-player-play-sound-positioned-by-idx && python3 scripts/compare-coff-function.py --unit sound-player-play-sound-positioned-by-idx --json
0x00439160,th095::SoundPlayer::StopSoundByIdx,151,matching,100.00,sound-player-stop-sound-by-idx,python3 scripts/build.py --unit sound-player-stop-sound-by-idx && python3 scripts/compare-coff-function.py --unit sound-player-stop-sound-by-idx --json
0x00439C00,th095::SoundPlayer::BGMPlayerThread,226,matching,100.00,sound-player-bgm-player-thread,python3 scripts/build.py --unit sound-player-bgm-player-thread && python3 scripts/compare-coff-function.py --unit sound-player-bgm-player-thread --json
0x00439CF0,th095::SoundPlayer::QueueCommand,225,matching,100.00,sound-player-queue-command,python3 scripts/build.py --unit sound-player-queue-command && python3 scripts/compare-coff-function.py --unit sound-player-queue-command --json
0x00439DE0,th095::SoundPlayer::SoundPlayer,76,matching,100.00,sound-player-constructor,python3 scripts/build.py --unit sound-player-constructor && python3 scripts/compare-coff-function.py --unit sound-player-constructor --json
0x0043A0C0,th095::AnmLoaded::SetAndExecuteScript,234,matching,100.00,anm-set-and-execute-script,python3 scripts/build.py --unit anm-set-and-execute-script && python3 scripts/compare-coff-function.py --unit anm-set-and-execute-script --json
0x00420920,th095::GameWindow::Present,231,matching,100.00,main-present,python3 scripts/build.py --unit main-present && python3 scripts/compare-coff-function.py --unit main-present --json
0x00420A10,th095::GameWindow::GetTimestamp,313,matching,100.00,main-get-timestamp,python3 scripts/build.py --unit main-get-timestamp && python3 scripts/compare-coff-function.py --unit main-get-timestamp --json
0x00420B50,th095::GameWindow::InitD3DInterface,56,matching,100.00,main-init-d3d-interface,python3 scripts/build.py --unit main-init-d3d-interface && python3 scripts/compare-coff-function.py --unit main-init-d3d-interface --json
0x00420B90,th095::GameWindow::CreateGameWindow,342,matching,100.00,main-create-game-window,python3 scripts/build.py --unit main-create-game-window && python3 scripts/compare-coff-function.py --unit main-create-game-window --json
0x00420CF0,th095::GameWindow::WindowProc,303,matching,100.00,main-window-proc,python3 scripts/build.py --unit main-window-proc && python3 scripts/compare-coff-function.py --unit main-window-proc --json
0x00420E20,th095::GameWindow::InitD3DRendering,1375,matching,100.00,main-init-d3d-rendering,python3 scripts/build.py --unit main-init-d3d-rendering && python3 scripts/compare-coff-function.py --unit main-init-d3d-rendering --json
0x00421380,th095::GameWindow::ResetRenderState,1045,matching,100.00,main-reset-render-state,python3 scripts/build.py --unit main-reset-render-state && python3 scripts/compare-coff-function.py --unit main-reset-render-state --json
0x004217A0,th095::GameWindow::CheckForRunningGameInstance,625,matching,100.00,main-check-running-instance,python3 scripts/build.py --unit main-check-running-instance && python3 scripts/compare-coff-function.py --unit main-check-running-instance --json
0x00421A20,th095::GameWindow::ActivateWindow,143,matching,100.00,main-activate-window,python3 scripts/build.py --unit main-activate-window && python3 scripts/compare-coff-function.py --unit main-activate-window --json
0x00421AB0,th095::GameWindow::ResolveShortcut,322,matching,100.00,main-resolve-shortcut,python3 scripts/build.py --unit main-resolve-shortcut && python3 scripts/compare-coff-function.py --unit main-resolve-shortcut --json
0x00418720,th095::GameConfiguration::Initialize,471,matching,100.00,main-config-initialize,python3 scripts/build.py --unit main-config-initialize && python3 scripts/compare-coff-function.py --unit main-config-initialize --json
0x00424D30,th095::Supervisor::LoadConfig,1047,matching,100.00,main-load-config,python3 scripts/build.py --unit main-load-config && python3 scripts/compare-coff-function.py --unit main-load-config --json
0x00421C90,th095::AnmManager::ReleaseSurfaces,104,matching,100.00,main-release-surfaces,python3 scripts/build.py --unit main-release-surfaces && python3 scripts/compare-coff-function.py --unit main-release-surfaces --json
0x00423D60,th095::Supervisor::RegisterChain,267,matching,100.00,main-register-chain,python3 scripts/build.py --unit main-register-chain && python3 scripts/compare-coff-function.py --unit main-register-chain --json
0x00425890,th095::Supervisor::InitializeCriticalSections,62,matching,100.00,main-initialize-critical-sections,python3 scripts/build.py --unit main-initialize-critical-sections && python3 scripts/compare-coff-function.py --unit main-initialize-critical-sections --json
0x004258D0,th095::Supervisor::DeleteCriticalSections,62,matching,100.00,main-delete-critical-sections,python3 scripts/build.py --unit main-delete-critical-sections && python3 scripts/compare-coff-function.py --unit main-delete-critical-sections --json
0x0043F2B0,th095::AnmManager::ClearVertexBuffer,60,matching,100.00,anm-clear-vertex-buffer,python3 scripts/build.py --unit anm-clear-vertex-buffer && python3 scripts/compare-coff-function.py --unit anm-clear-vertex-buffer --json
0x0043F2F0,th095::AnmManager::FlushVertexBuffer,198,matching,100.00,anm-flush-vertex-buffer,python3 scripts/build.py --unit anm-flush-vertex-buffer && python3 scripts/compare-coff-function.py --unit anm-flush-vertex-buffer --json
0x004415A0,th095::AnmManager::Draw,317,matching,100.00,anm-manager-draw,python3 scripts/build.py --unit anm-manager-draw && python3 scripts/compare-coff-function.py --unit anm-manager-draw --json
0x00441DA0,th095::Float3::FromAngleMagnitude,32,matching,100.00,float3-from-angle-magnitude,python3 scripts/build.py --unit float3-from-angle-magnitude && python3 scripts/compare-coff-function.py --unit float3-from-angle-magnitude --json
0x00441710,th095::AnmVm::InitializePulsingRadialTrail,754,matching,100.00,anm-initialize-pulsing-radial-trail,python3 scripts/build.py --unit anm-initialize-pulsing-radial-trail && python3 scripts/compare-coff-function.py --unit anm-initialize-pulsing-radial-trail --json
0x00441A10,th095::UpdatePulsingRadialTrail,850,matching,100.00,anm-update-pulsing-radial-trail,python3 scripts/build.py --unit anm-update-pulsing-radial-trail && python3 scripts/compare-coff-function.py --unit anm-update-pulsing-radial-trail --json
0x00441D70,th095::DrawPulsingRadialTrail,45,matching,100.00,anm-draw-pulsing-radial-trail,python3 scripts/build.py --unit anm-draw-pulsing-radial-trail && python3 scripts/compare-coff-function.py --unit anm-draw-pulsing-radial-trail --json
0x00441DC0,th095::AnmManager::AnmManager,1005,matching,100.00,anm-manager-constructor,python3 scripts/build.py --unit anm-manager-constructor && python3 scripts/compare-coff-function.py --unit anm-manager-constructor --json
0x004421B0,th095::AnmManager::~AnmManager,176,matching,100.00,anm-manager-destructor,python3 scripts/build.py --unit anm-manager-destructor && python3 scripts/compare-coff-function.py --unit anm-manager-destructor --json
0x00434220,th095::PhotoDistance2D,77,matching,100.00,photo-distance-2d,python3 scripts/build.py --unit photo-distance-2d && python3 scripts/compare-coff-function.py --unit photo-distance-2d --json
0x00430370,th095::PhotoGameStateView::AngleToPoint,108,matching,100.00,photo-angle-to-point,python3 scripts/build.py --unit photo-angle-to-point && python3 scripts/compare-coff-function.py --unit photo-angle-to-point --json
0x00432730,th095::PhotoCameraState::BeginCapture,393,matching,100.00,photo-begin-capture,python3 scripts/build.py --unit photo-begin-capture && python3 scripts/compare-coff-function.py --unit photo-begin-capture --json
0x004328C0,th095::PhotoCameraState::UpdateViewfinder,1059,matching,100.00,photo-update-viewfinder,python3 scripts/build.py --unit photo-update-viewfinder && python3 scripts/compare-coff-function.py --unit photo-update-viewfinder --json
0x00432D10,th095::PhotoCameraState::TakePhoto,738,matching,100.00,photo-take-photo,python3 scripts/build.py --unit photo-take-photo && python3 scripts/compare-coff-function.py --unit photo-take-photo --json
0x00433000,th095::PhotoCameraState::CancelCapture,318,matching,100.00,photo-cancel-capture,python3 scripts/build.py --unit photo-cancel-capture && python3 scripts/compare-coff-function.py --unit photo-cancel-capture --json
0x004339F0,th095::PhotoCameraState::CountPhotoTargets,793,matching,100.00,photo-count-targets,python3 scripts/build.py --unit photo-count-targets && python3 scripts/compare-coff-function.py --unit photo-count-targets --json
0x00433D10,th095::PhotoCameraState::UpdateCharge,982,matching,100.00,photo-update-charge,python3 scripts/build.py --unit photo-update-charge && python3 scripts/compare-coff-function.py --unit photo-update-charge --json
0x004340F0,th095::PhotoCameraState::Draw,296,matching,100.00,photo-camera-draw,python3 scripts/build.py --unit photo-camera-draw && python3 scripts/compare-coff-function.py --unit photo-camera-draw --json
0x004452D0,th095::AnmVm::Draw,26,matching,100.00,anm-vm-draw,python3 scripts/build.py --unit anm-vm-draw && python3 scripts/compare-coff-function.py --unit anm-vm-draw --json
0x00434270,th095::ReplayManager::ReplayManager,41,matching,100.00,replay-manager-constructor,python3 scripts/build.py --unit replay-manager-constructor && python3 scripts/compare-coff-function.py --unit replay-manager-constructor --json
0x004344F0,th095::ReplayManager::~ReplayManager,185,matching,100.00,replay-manager-destructor,python3 scripts/build.py --unit replay-manager-destructor && python3 scripts/compare-coff-function.py --unit replay-manager-destructor --json
0x004342A0,th095::ReplayManager::Initialize,582,matching,100.00,replay-manager-initialize,python3 scripts/build.py --unit replay-manager-initialize && python3 scripts/compare-coff-function.py --unit replay-manager-initialize --json
0x004345B0,th095::ReplayManager::Create,330,matching,100.00,replay-manager-create,python3 scripts/build.py --unit replay-manager-create && python3 scripts/compare-coff-function.py --unit replay-manager-create --json
0x00434700,th095::ReplayManager::Load,207,matching,100.00,replay-manager-load,python3 scripts/build.py --unit replay-manager-load && python3 scripts/compare-coff-function.py --unit replay-manager-load --json
0x004347D0,th095::ReplayManager::Destroy,95,matching,100.00,replay-manager-destroy,python3 scripts/build.py --unit replay-manager-destroy && python3 scripts/compare-coff-function.py --unit replay-manager-destroy --json
0x00434830,th095::ReplayManager::ProcessFrame,408,matching,100.00,replay-manager-process-frame,python3 scripts/build.py --unit replay-manager-process-frame && python3 scripts/compare-coff-function.py --unit replay-manager-process-frame --json
0x004349D0,th095::ReplayManager::DrawFps,182,matching,100.00,replay-manager-draw-fps,python3 scripts/build.py --unit replay-manager-draw-fps && python3 scripts/compare-coff-function.py --unit replay-manager-draw-fps --json
0x00435350,th095::ReplayManager::OnUpdate,45,matching,100.00,replay-manager-on-update,python3 scripts/build.py --unit replay-manager-on-update && python3 scripts/compare-coff-function.py --unit replay-manager-on-update --json
0x00435380,th095::ReplayManager::OnDraw,45,matching,100.00,replay-manager-on-draw,python3 scripts/build.py --unit replay-manager-on-draw && python3 scripts/compare-coff-function.py --unit replay-manager-on-draw --json
0x00435130,th095::ReplayManager::LoadReplay,540,matching,100.00,replay-manager-load-replay,python3 scripts/build.py --unit replay-manager-load-replay && python3 scripts/compare-coff-function.py --unit replay-manager-load-replay --json
0x00434A90,th095::ReplayManager::WriteReplay,1691,matching,100.00,replay-manager-write-replay,python3 scripts/build.py --unit replay-manager-write-replay && python3 scripts/compare-coff-function.py --unit replay-manager-write-replay --json
0x0042A710,th095::ResultScreen::LoadReplays,390,matching,100.00,result-screen-load-replays,python3 scripts/build.py --unit result-screen-load-replays && python3 scripts/compare-coff-function.py --unit result-screen-load-replays --json
