address,size,span_end,current_name,proposed_name,module,status,match_percent,calling_convention,signature,is_thunk,source_file,evidence,owner,notes
0x00401000,135,0x00401086,FUN_00401000,th095::AsciiManager::OnUpdate,AsciiManager,reconstructed,0.00,__fastcall,i32 AsciiManager::OnUpdate(AsciiManager *ascii),false,src/AsciiManager.cpp,Pinned VC7.1 semantic probe reproduces the complete 135-byte topology and all four global relocations; one register-direction byte remains,authored,Complete replay/photo reset gate both queue resets and frame-counter advance
0x00401090,24,0x004010A7,FUN_00401090,th095::AsciiManager::OnDrawLowPrio,AsciiManager,matching,100.00,__fastcall,i32 AsciiManager::OnDrawLowPrio(AsciiManager *ascii),false,src/AsciiManager.cpp,Canonical relocation-aware VC7.1 comparison: 24/24 bytes and the regular text renderer relocation,authored,Exact low-priority draw-chain wrapper
0x004010B0,59,0x004010EA,FUN_004010b0,th095::AsciiManager::OnDrawHighPrio,AsciiManager,matching,100.00,__fastcall,i32 AsciiManager::OnDrawHighPrio(AsciiManager *ascii),false,src/AsciiManager.cpp,Canonical relocation-aware VC7.1 comparison: 59/59 bytes and all three stage-gate/render relocations,authored,Exact high-priority GUI text wrapper with photo-stage suppression
0x004010F0,394,0x00401279,FUN_004010f0,th095::AsciiManager::Reset,AsciiManager,reconstructed,0.00,__thiscall,void AsciiManager::Reset(),false,src/AsciiManager.cpp,Exact-sized natural VC7.1 probe with all four AnmVm initialization and sprite relocations; residual is sixteen bytes of target-only inline local homes,authored,Complete VM queue popup drawing-state and glyph-spacing reset
0x00401280,213,0x00401354,FUN_00401280,th095::AsciiManager::RegisterChain,AsciiManager,matching,100.00,__fastcall,ZunResult AsciiManager::RegisterChain(),false,src/AsciiManager.cpp,Canonical relocation-aware VC7.1 comparison: 213/213 bytes and all twenty-nine callback chain and global relocations,authored,Exact calc and two draw chain registrations at priorities 1 28 and 21
0x00401360,131,0x004013E2,FUN_00401360,th095::AsciiManager::AddedCallback,AsciiManager,matching,100.00,__fastcall,ZunResult AsciiManager::AddedCallback(AsciiManager *ascii),false,src/AsciiManager.cpp,Canonical relocation-aware VC7.1 comparison: 131/131 bytes and all eight resource/reset relocations,authored,Exact full-manager reset ascii/capture ANM loading and VM initialization
0x004013F0,39,0x00401416,FUN_004013f0,th095::AsciiManager::DeletedCallback,AsciiManager,matching,100.00,__fastcall,ZunResult AsciiManager::DeletedCallback(AsciiManager *ascii),false,src/AsciiManager.cpp,Canonical relocation-aware VC7.1 comparison: 39/39 bytes and all four ANM release relocations,authored,Exact ascii and capture ANM release callback
0x00401420,35,0x00401442,FUN_00401420,th095::AsciiManager::CutChain,AsciiManager,matching,100.00,__fastcall,void AsciiManager::CutChain(),false,src/AsciiManager.cpp,Canonical relocation-aware VC7.1 comparison: 35/35 bytes and all six Chain relocations,authored,Exact calc and low-priority draw unlink with the target high-priority omission preserved
0x00401450,224,0x0040152F,FUN_00401450,th095::AsciiManager::AddString,AsciiManager,matching,100.00,__thiscall,void AsciiManager::AddString(Float3 *position; const char *string),false,src/AsciiManager.cpp,Canonical relocation-free VC7.1 comparison: 224/224 bytes,authored,Exact bounded regular queue append with target unbounded string copy and drawing-state snapshot
0x00401530,221,0x0040160C,FUN_00401530,th095::AsciiManager::AddGuiString,AsciiManager,matching,100.00,__thiscall,void AsciiManager::AddGuiString(Float3 *position; const char *string),false,src/AsciiManager.cpp,Canonical relocation-free VC7.1 comparison: 221/221 bytes,authored,Exact bounded GUI queue append with drawing-state snapshot
0x00401610,68,0x00401653,FUN_00401610,th095::AsciiManager::AddFormatText,AsciiManager,matching,100.00,__cdecl,void AsciiManager::AddFormatText(Float3 *position; const char *format; ...),false,src/AsciiManager.cpp,Canonical relocation-aware VC7.1 comparison: 68/68 bytes and both formatter/queue relocations,authored,Exact regular text variadic formatter through a 512-byte buffer
0x00401660,146,0x004016F1,FUN_00401660,th095::AsciiManager::AddGuiFormatText,AsciiManager,matching,100.00,__cdecl,i32 AsciiManager::AddGuiFormatText(Float3 *position; const char *format; ...),false,src/AsciiManager.cpp,Canonical relocation-aware VC7.1 comparison: 146/146 bytes and both formatter/queue relocations,authored,Exact GUI variadic formatter and byte-count return
